sy_snum,sy_pnum,pl_orbper,pl_radj,pl_massj,pl_orbeccen,st_teff,st_rad,st_mass
2,5,2.79674000,,,0.264000,5250.00,0.96,0.90
2,5,0.73654740,0.174,0.02703,,,0.98,1.01
2,5,0.73654000,0.178,0.02700,,,0.94,0.96
2,5,0.73654450,,,0.036000,5317.89,0.96,0.97
2,5,0.73654625,,,,5234.00,0.94,0.91
2,5,259.88000000,,,0.080000,5172.00,0.94,0.91
2,5,260.91000000,,0.14790,0.080000,5250.00,0.96,0.90
2,5,261.20000000,,,0.320000,5250.00,0.96,0.90
2,5,260.98000000,,,0.142000,5317.89,0.96,0.97
2,5,260.00000000,,,0.200000,5250.00,0.96,0.90
2,5,262.00000000,,0.14100,0.305000,,,0.95
2,5,260.70000000,,,0.000000,5250.00,0.96,0.90
1,1,899.00000000,,,0.134000,4978.00,5.20,1.70
1,1,874.77400000,,,0.125000,,5.20,1.82
1,1,919.86000000,,,0.042000,4941.00,4.94,1.32
1,1,934.30000000,,,0.073000,4938.00,5.20,1.44
1,3,4.21487000,,,0.099000,5585.57,1.03,0.91
1,3,4.21500000,,,0.120000,5577.00,0.96,0.94
1,3,38.09570000,,,0.068000,5585.57,1.03,0.91
1,3,38.02100000,,,0.140000,5577.00,0.96,0.94
1,3,123.01000000,,,0.350000,5577.00,0.96,0.94
1,2,,,,,,5.20,1.44
1,2,763.00000000,,,0.140000,4792.00,2.30,1.52
1,2,735.10000000,,,0.060000,4826.00,4.87,1.34
1,2,796.00000000,,,0.220000,4794.52,4.91,
1,2,996.00000000,,,0.080000,4826.00,4.87,1.34
1,2,,,,,,5.20,1.44
1,1,116.68840000,,7.49000,0.400700,5545.00,,1.11
1,1,116.68800000,,,0.398800,5495.00,1.89,1.09
1,1,116.69260000,,,0.399000,5439.00,1.94,1.09
1,1,116.69335000,,,0.398900,5481.86,1.92,1.06
1,1,116.68840000,,,0.400000,5531.00,1.84,1.14
1,1,116.68900000,,,0.397000,,,
2,2,696.62000000,,,0.093000,4809.00,10.38,1.92
2,2,691.90000000,,,0.117000,4846.00,10.50,2.49
2,2,2051.62000000,,,0.023000,4809.00,10.38,1.92
1,1,93.40000000,,,0.060000,4847.00,10.30,1.44
1,1,93.40000000,,,0.060000,4847.40,9.90,1.80
1,1,952.70000000,,,0.206000,4785.00,11.00,2.40
1,1,,,,,,,1.60
1,1,1005.57000000,,,0.037000,4734.00,11.21,1.23
3,1,181.40000000,,,0.027000,4665.00,11.00,1.40
1,1,,,9.00000,0.400000,9770.00,,2.40
1,1,,,13.50000,,,,
1,1,7520.00000000,,5.23700,0.470000,6100.00,1.25,1.20
1,1,8030.00000000,,3.20000,0.240000,6130.00,1.25,1.20
1,1,9060.00000000,,4.30000,0.320000,6140.00,,1.13
1,3,8.46300040,0.374,,0.120000,,0.75,
1,3,8.46321000,,,0.000000,,,
1,3,,0.359,,,3588.00,0.70,
1,3,8.46321000,0.375,,0.100000,3700.00,0.75,0.50
1,3,8.46321000,,0.05380,,3700.00,0.75,0.50
1,3,8.46300000,,0.03681,0.040000,3700.00,0.75,0.50
1,3,8.46300000,0.363,0.05349,0.000000,3700.00,0.75,0.50
1,3,8.46308000,0.353,,0.005770,3678.00,0.74,0.51
1,3,8.46299910,,0.06330,0.186000,,,0.50
1,3,8.46314270,,0.03209,,3665.00,0.82,0.60
1,3,18.85882000,,0.04468,,3665.00,0.82,0.60
1,3,18.85898200,0.249,,0.130000,,0.75,
1,3,18.85901900,0.289,0.04279,0.000000,3700.00,0.75,0.50
1,3,18.85969000,0.225,,0.003380,3678.00,0.74,0.51
1,3,18.85899100,,0.03020,,,,0.50
1,3,18.85901900,,0.06985,0.041000,3700.00,0.75,0.50
1,3,12.73596000,,0.00331,0.003050,3678.00,0.74,0.51
1,1,481.90000000,,,0.200000,4095.00,32.35,1.14
1,1,268.94000000,,,0.290000,5008.00,0.95,0.86
1,1,268.94000000,,,0.290000,4864.00,0.86,0.49
1,1,153.22000000,,,0.001000,4649.00,8.95,1.08
1,1,137.48000000,,,0.260000,4796.00,14.70,1.10
1,2,379.63000000,,,0.150000,4137.00,49.00,2.80
1,2,379.63000000,,,0.150000,4259.00,71.02,10.83
1,2,621.99000000,,,0.180000,4137.00,49.00,2.80
1,1,578.20000000,,,0.210000,4296.00,17.30,0.80
1,1,41.68864400,0.210,,,5703.00,0.96,0.96
1,1,41.68550000,0.230,0.07000,0.000000,5766.00,1.08,1.67
1,1,41.68550000,0.199,0.05129,0.000000,5766.00,0.93,0.96
1,1,307.88000000,,,0.120000,5004.00,,0.81
1,1,392.60000000,,,0.200000,4414.00,11.00,0.74
1,1,733.00000000,,,0.760000,4534.00,10.33,1.09
1,1,2590.00000000,,,0.350000,4943.00,7.60,1.52
1,1,265.59000000,,,0.270000,5012.00,,0.91
1,1,,1.310,15.00000,,4993.00,0.80,1.00
1,1,1230.00000000,,10.40000,0.891000,5000.00,,0.82
1,1,1198.48000000,,,0.880000,5000.00,,0.82
1,2,3.87280000,,,0.000000,4324.00,,0.70
1,2,125.94000000,,,0.310000,4324.00,,0.70
1,2,5.60000000,,,0.150000,4746.00,,0.74
1,2,5.60000000,,,0.150000,4816.00,0.71,0.50
1,2,237.60000000,,,0.190000,4746.00,,0.74
1,1,3.48777000,,,0.019000,5393.00,,1.01
1,1,3.48777000,,,0.020000,5393.00,0.91,1.47
1,1,3.48700000,,,0.050000,5400.00,,1.10
1,1,3.48790500,,,0.022000,5382.64,0.97,1.00
1,2,1667.00000000,,,0.050000,4475.00,0.52,0.57
1,2,1634.00000000,,,0.050000,4550.00,0.64,0.65
1,2,74.20000000,,,0.400000,4550.00,0.64,0.65
1,1,714.29999000,,,0.210000,4545.00,19.17,2.12
1,1,714.30000000,,,0.210000,,,2.40
3,1,4.28896960,1.848,,,6736.90,2.61,
3,1,4.28897310,1.926,12.37000,0.066000,6935.00,2.35,1.41
1,1,655.57000000,,5.16000,0.543900,,,0.74
1,1,655.59998000,,,0.540000,4665.00,0.74,0.31
1,1,649.00000000,,4.30000,0.280000,,,
1,1,655.60000000,,,0.540000,4714.00,0.69,0.74
1,2,1891.00000000,,,0.100000,4051.00,0.75,0.68
1,2,6240.00000000,,4.80000,0.430000,,,0.69
1,2,6360.00000000,,,0.100000,4051.00,0.75,0.68
1,1,2.29070000,,,,3130.00,0.17,0.16
1,1,10037.50000000,,10.50000,,580.50,,0.02
1,1,8040000.00000000,1.860,7.80000,,2320.00,0.24,0.01
1,1,,,12.56900,,,,0.35
1,1,25.20000000,,,0.580000,,,
1,1,402000000.00000000,1.110,6.30000,,3406.00,0.39,0.37
1,1,,2.200,17.00000,,,,
1,1,1.50895570,1.490,1.03000,0.000000,5950.00,1.11,0.95
1,1,1.50895570,1.480,1.13000,0.000000,5950.00,1.14,1.03
1,1,1.50896877,,,,,,
1,1,1.50896820,1.715,1.23000,0.036000,6298.00,1.23,1.22
1,1,1.50896860,1.551,1.03000,,5950.00,1.13,0.95
1,1,1.50896350,1.837,,,5950.00,1.29,
1,1,1.50897655,1.420,1.07000,0.071000,5950.00,,
1,1,13.24060000,0.970,2.73000,0.524000,5075.00,0.79,0.89
1,1,13.24060000,0.941,2.78000,,5075.00,0.74,0.90
1,1,13.24060000,0.970,2.75000,0.530000,5075.00,0.79,0.89
1,1,2.99432500,1.390,2.49000,0.000000,,1.33,1.23
1,1,2.99427803,,,,6440.00,1.37,1.27
1,1,2.99432500,1.430,2.62000,0.360000,6440.00,1.37,1.27
1,1,2.99433000,1.426,2.34000,,6440.00,1.37,1.26
1,1,2.99328197,1.940,,,6343.00,1.59,
1,1,2.99433000,1.430,2.33000,0.000000,6440.00,1.37,1.27
1,1,,,,,6343.00,1.36,1.56
1,1,2.82804200,1.440,0.91700,0.070000,5675.00,1.12,1.08
1,1,2.82804100,,,,5675.00,1.12,1.08
1,1,2.82804200,1.440,0.91500,0.050000,5675.00,1.12,1.08
1,1,2.82803915,1.584,,,5675.00,1.04,
1,1,2.82805268,1.344,0.87300,,,1.05,1.00
1,1,2.82804200,1.350,0.88700,,5675.00,1.05,1.02
1,1,4.03515000,,,,5945.00,1.01,1.09
1,1,4.03519000,0.885,1.33100,0.067000,5945.00,1.01,1.09
1,1,4.03504444,1.118,,,5945.00,1.14,
1,1,4.03519000,1.252,1.31200,,5945.00,1.27,1.09
1,1,4.03519000,0.885,1.30800,0.000000,5945.00,1.01,1.09
1,1,1.51214000,1.090,7.60000,0.000000,6035.00,1.21,1.13
1,1,1.51214000,1.018,7.67000,,6035.00,1.19,1.12
1,1,1.51214000,1.090,7.42000,0.036000,6040.00,1.21,1.13
1,1,5.35227000,1.170,0.52900,0.370000,5650.00,1.19,1.10
1,1,5.35227000,1.170,0.53500,0.330000,5650.00,1.19,1.10
1,1,3.76810000,1.007,2.46000,,5740.00,1.62,1.04
1,1,3.76810000,1.020,2.43000,0.000000,5740.00,1.59,1.04
1,1,3.76810000,1.020,2.41000,0.081000,5740.00,1.59,1.04
1,1,1.90006930,1.310,3.46000,0.025000,5440.00,1.00,0.95
1,1,1.90006930,1.251,3.27000,,5440.00,0.92,0.86
1,1,1.90006930,1.310,3.47000,0.080000,5440.00,1.00,0.95
1,1,1.90007690,,,,5440.00,1.00,0.95
1,1,1.90009000,1.146,3.30000,,,0.88,0.88
1,1,1.90008625,1.343,,,5440.00,0.93,
1,1,3.89713000,1.190,1.09000,,6090.00,1.58,1.18
1,1,3.89713790,,,,6090.00,1.65,1.21
1,1,3.89713100,,,,6090.00,1.65,1.21
1,1,3.89712026,1.204,,,6090.00,1.64,
1,1,3.89713000,1.290,1.11000,0.047000,6090.00,1.65,1.21
1,1,3.89713000,1.290,1.15500,0.056000,6090.00,1.65,1.21
2,1,1.74299640,1.465,3.31000,0.000000,,,
2,1,1.74299750,1.414,3.31000,0.000000,5625.00,0.90,0.97
2,1,1.74299673,1.466,3.30000,0.024000,5625.00,0.90,0.97
