pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
Kepler-1316 b,Kepler-1316,1,1,0,2016,Kepler,Kepler CCD Array,87.9732136,5884.0,1.12,1.04,4.36,800.871,13.9509,2016-05-10
Kepler-1317 b,Kepler-1317,1,1,0,2016,Kepler,Kepler CCD Array,0.5688763,5159.0,0.71,0.81,4.64,728.303,15.2339,2013-10-28
Kepler-1318 b,Kepler-1318,1,1,0,2016,Kepler,Kepler CCD Array,213.257663,4598.0,0.7,0.73,4.62,475.248,15.2424,2016-05-10
Kepler-1319 b,Kepler-1319,2,1,0,2016,Kepler,Kepler CCD Array,2.88676012,3527.0,0.5,0.5,4.74,103.917,14.2218,2019-04-18
Kepler-132 b,Kepler-132,2,4,0,2014,Kepler,Kepler CCD Array,6.17817366,5904.77,,,,349.549,,2018-09-25
Kepler-132 c,Kepler-132,2,4,0,2014,Kepler,Kepler CCD Array,6.41491277,5904.77,,,,349.549,,2018-09-25
Kepler-132 d,Kepler-132,2,4,0,2014,Kepler,Kepler CCD Array,18.01017833,5904.77,,,,349.549,,2016-07-28
Kepler-132 e,Kepler-132,2,4,0,2016,Kepler,Kepler CCD Array,110.2867031,5904.77,,,,349.549,,2018-09-25
Kepler-1320 b,Kepler-1320,1,1,0,2016,Kepler,Kepler CCD Array,0.86838635,4575.0,0.69,0.72,4.62,647.424,15.9045,2018-09-25
Kepler-1321 b,Kepler-1321,1,3,0,2016,Kepler,Kepler CCD Array,11.12827427,4034.0,0.76,0.63,4.48,769.146,16.9282,2018-09-25
Kepler-1321 c,Kepler-1321,1,3,0,2016,Kepler,Kepler CCD Array,2.22648583,4034.0,0.76,0.63,4.48,769.146,16.9282,2016-07-28
Kepler-1321 d,Kepler-1321,1,3,0,2021,Kepler,Kepler CCD Array,5.720856,4210.0,0.6,0.59,4.65,769.146,16.9282,2013-10-28
