pl_name,hostname,No.of stars,No.of Planets,No.of Moons,Discovery year,Discovery facility,Discovery Instrument,Orbital Period,Stellar effective Temparature,Stellar radius,Stellar mass,Stellar surface gravity,distance,Gaia Magnitude,releasedate
11 Com b,11 Com,2,1,0,2007,Xinglong Station,Coude Echelle Spectrograph,,,,2.6,,93.1846,4.44038,2014-07-23
11 UMi b,11 UMi,1,1,0,2009,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,516.21997,4213.0,29.79,2.78,1.93,125.321,4.56216,2018-09-06
14 And b,14 And,1,1,0,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,186.76,4888.0,11.55,1.78,2.55,75.4392,4.91781,2023-09-19
14 Her b,14 Her,1,2,0,2002,W. M. Keck Observatory,HIRES Spectrometer,1773.4,,,,,17.9323,6.383,2014-05-14
16 Cyg B b,16 Cyg B,3,1,0,1996,Multiple Observatories,Multiple Instruments,799.45,5711.97,1.16,0.98,4.3,21.1397,6.06428,2021-09-20
17 Sco b,17 Sco,1,1,0,2020,Lick Observatory,Hamilton Echelle Spectrograph,578.38,4157.0,25.92,1.22,1.7,124.953,4.75429,2021-10-25
18 Del b,18 Del,2,1,0,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,993.3,4979.0,8.5,2.3,2.82,76.222,5.27476,2014-05-14
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,2008,Gemini Observatory,NIRI Camera,,4060.0,,0.85,,139.135,12.0572,2015-04-01
24 Boo b,24 Boo,1,1,0,2018,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,30.3506,4893.0,10.64,0.99,2.42,95.9863,5.3339,2018-04-26
24 Sex b,24 Sex,1,2,0,2010,Lick Observatory,Hamilton Echelle Spectrograph,452.8,5098.0,4.9,1.54,3.5,72.0691,6.20374,2014-05-14
24 Sex c,24 Sex,1,2,0,2010,Lick Observatory,Hamilton Echelle Spectrograph,883.0,5098.0,4.9,1.54,3.5,72.0691,6.20374,2014-05-14
2M0437 b,2MASS J04372171+2651014,1,1,0,2021,Subaru Telescope,Infrared Camera and Spectrograph (IRCS),,3100.0,0.84,0.17,4.5,128.484,14.3374,2021-12-13
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,2013,Paranal Observatory,NACO Camera,,,,0.19,,,,2020-09-03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,2013,W. M. Keck Observatory,NIRC2 Camera,,3309.0,0.37,0.35,4.86,33.8281,12.9025,2015-09-03
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,2015,Cerro Tololo Inter-American Observatory,SIMON Near-Infrared Spectroimager,,3064.0,0.28,0.11,4.59,,15.0123,2015-05-14
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,2018,Mauna Kea Observatory,WIRCam,,,,0.05,,66.0613,15.6894,2024-05-13
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,117.435,16.9967,2024-05-08
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,2010,Hubble Space Telescope,WFPC2 Camera,,,,0.02,,,18.9668,2014-05-14
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,,18.3299,2024-05-08
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,100.862,14.818,2024-05-07
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,2004,Paranal Observatory,NACO Camera,,,,0.02,,64.308,17.4076,2016-02-25
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,2015,Kepler,Kepler CCD Array,406.0,29564.0,0.2,0.48,5.51,396.332,12.1376,2022-04-19
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,2024,European Space Agency (ESA) Gaia Satellite,Gaia CCD array,,,,,,34.1154,10.8133,2024-05-07
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,2016,W. M. Keck Observatory,NIRC2 Camera,,4045.0,,0.6,,69.5737,11.9484,2016-11-10
30 Ari B b,30 Ari B,4,1,0,2009,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,335.1,6300.0,1.13,1.16,4.5,44.657,6.96085,2014-05-14
4 UMa b,4 UMa,1,1,0,2006,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,270.27,4415.0,18.11,1.23,1.8,73.4603,4.23773,2023-09-19
42 Dra b,42 Dra,2,1,0,2008,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,479.1,4200.0,22.03,0.98,1.71,90.6545,4.43216,2014-05-14
47 UMa b,47 UMa,1,3,0,1996,Lick Observatory,Hamilton Echelle Spectrograph,1076.6,5882.0,,1.06,,13.7967,4.87837,2016-01-28
47 UMa c,47 UMa,1,3,0,2001,Lick Observatory,Hamilton Echelle Spectrograph,2391.0,5872.0,1.21,1.06,4.3,13.7967,4.87837,2014-05-14
47 UMa d,47 UMa,1,3,0,2009,Lick Observatory,Hamilton Echelle Spectrograph,14002.0,5872.0,1.21,1.06,4.3,13.7967,4.87837,2014-05-14
51 Eri b,51 Eri,3,1,0,2015,Gemini Observatory,Gemini Planet Imager,14965.0,7295.0,1.49,1.65,4.31,29.7575,5.15806,2015-12-03
51 Peg b,51 Peg,1,1,0,1995,Haute-Provence Observatory,ELODIE Spectrograph,4.23077,,,,,15.4614,5.28647,2014-08-21
55 Cnc b,55 Cnc,2,5,0,1996,Lick Observatory,Hamilton Echelle Spectrograph,14.65162,5250.0,0.96,0.9,4.42,12.5855,5.72973,2014-05-16
55 Cnc c,55 Cnc,2,5,0,2004,McDonald Observatory,High Resolution Spectrograph,44.3989,5172.0,0.94,0.91,4.43,12.5855,5.72973,2021-02-11
55 Cnc d,55 Cnc,2,5,0,2002,Lick Observatory,Hamilton Echelle Spectrograph,4867.0,5250.0,0.96,0.9,4.42,12.5855,5.72973,2014-08-21
55 Cnc e,55 Cnc,2,5,0,2004,McDonald Observatory,High Resolution Spectrograph,0.7365474,5172.0,0.94,0.91,4.43,12.5855,5.72973,2021-02-11
55 Cnc f,55 Cnc,2,5,0,2007,Multiple Observatories,Multiple Instruments,259.88,5172.0,0.94,0.91,4.43,12.5855,5.72973,2021-02-11
6 Lyn b,6 Lyn,1,1,0,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,899.0,4978.0,5.2,1.7,3.16,54.6599,5.60686,2014-08-21
61 Vir b,61 Vir,1,3,0,2009,Multiple Observatories,Multiple Instruments,4.21487,5585.57,1.03,0.91,4.37,8.50332,4.54052,2021-09-20
61 Vir c,61 Vir,1,3,0,2009,Multiple Observatories,Multiple Instruments,38.0957,5585.57,1.03,0.91,4.37,8.50332,4.54052,2021-09-20
61 Vir d,61 Vir,1,3,0,2009,Multiple Observatories,Multiple Instruments,123.01,5577.0,0.96,0.94,4.34,8.50332,4.54052,2014-05-14
7 CMa b,7 CMa,1,2,0,2011,Anglo-Australian Telescope,UCLES Spectrograph,,,5.2,1.44,3.17,19.8101,3.67853,2024-09-13
7 CMa c,7 CMa,1,2,0,2019,Multiple Observatories,Multiple Instruments,996.0,4826.0,4.87,1.34,3.19,19.8101,3.67853,2019-10-24
70 Vir b,70 Vir,1,1,0,1996,Lick Observatory,Hamilton Echelle Spectrograph,116.6884,5545.0,,1.11,4.07,17.9011,4.76178,2014-05-14
75 Cet b,75 Cet,2,2,0,2012,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,696.62,4809.0,10.38,1.92,2.69,82.9613,5.09343,2023-09-19
75 Cet c,75 Cet,2,2,0,2023,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,2051.62,4809.0,10.38,1.92,2.69,82.9613,5.09343,2023-09-19
8 UMi b,8 UMi,1,1,0,2015,Bohyunsan Optical Astronomical Observatory,BOES Echelle Spectrograph,93.4,4847.0,10.3,1.44,2.57,162.552,6.55896,2018-09-06
81 Cet b,81 Cet,1,1,0,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,952.7,4785.0,11.0,2.4,2.35,101.26,5.37588,2014-05-14
91 Aqr b,91 Aqr,3,1,0,2013,Lick Observatory,Hamilton Echelle Spectrograph,181.4,4665.0,11.0,1.4,2.52,44.0304,3.95311,2014-05-14
AB Aur b,AB Aur,1,1,0,2022,Subaru Telescope,Subaru Coronagraphic Extreme Adaptive Opti,,9770.0,,2.4,,162.127,7.07854,2022-04-12
AB Pic b,AB Pic,1,1,0,2005,Paranal Observatory,NACO Camera,,,,,,50.0475,8.8378,2014-05-14
AF Lep b,AF Lep,1,1,0,2023,Paranal Observatory,SPHERE,7520.0,6100.0,1.25,1.2,4.4,26.8564,6.18644,2023-02-25
AU Mic b,AU Mic,1,3,0,2020,Transiting Exoplanet Survey Satellite (TESS),TESS CCD Array,8.4630004,,0.75,,,9.7221,7.84038,2022-05-09
AU Mic c,AU Mic,1,3,0,2021,Transiting Exoplanet Survey Satellite (TESS),TESS CCD Array,18.85882,3665.0,0.82,0.6,4.52,9.7221,7.84038,2023-10-21
AU Mic d,AU Mic,1,3,0,2023,Multiple Observatories,Multiple Instruments,12.73596,3678.0,0.74,0.51,4.4,9.7221,7.84038,2024-10-03
BD+03 2562 b,BD+03 2562,1,1,0,2017,Multiple Observatories,Multiple Instruments,481.9,4095.0,32.35,1.14,1.89,1070.63,8.9977,2017-06-15
BD+14 4559 b,BD+14 4559,1,1,0,2009,McDonald Observatory,High Resolution Spectrograph,268.94,5008.0,0.95,0.86,4.6,49.352,9.35108,2014-05-14
BD+15 2375 b,BD+15 2375,1,1,0,2016,Roque de los Muchachos Observatory,HARPS-N Spectrograph,153.22,4649.0,8.95,1.08,2.61,768.045,9.9918,2016-02-04
BD+15 2940 b,BD+15 2940,1,1,0,2013,McDonald Observatory,High Resolution Spectrograph,137.48,4796.0,14.7,1.1,2.8,426.42,8.7178,2014-05-14
BD+20 2457 b,BD+20 2457,1,2,0,2009,McDonald Observatory,High Resolution Spectrograph,379.63,4137.0,49.0,2.8,1.51,1539.71,9.22684,2014-05-14
BD+20 2457 c,BD+20 2457,1,2,0,2009,McDonald Observatory,High Resolution Spectrograph,621.99,4137.0,49.0,2.8,1.51,1539.71,9.22684,2014-05-14
BD+20 274 b,BD+20 274,1,1,0,2012,McDonald Observatory,High Resolution Spectrograph,578.2,4296.0,17.3,0.8,1.99,1322.51,8.91613,2015-09-18
BD+20 594 b,BD+20 594,1,1,0,2016,K2,Kepler CCD Array,41.688644,5703.0,0.96,0.96,4.38,179.461,10.8644,2018-02-15
BD+45 564 b,BD+45 564,1,1,0,2021,Haute-Provence Observatory,SOPHIE Spectrograph,307.88,5004.0,,0.81,4.22,53.622,9.41266,2021-05-28
BD+48 738 b,BD+48 738,1,1,0,2011,McDonald Observatory,High Resolution Spectrograph,392.6,4414.0,11.0,0.74,2.24,871.493,8.65569,2015-08-13
BD+48 740 b,BD+48 740,1,1,0,2018,Multiple Observatories,Multiple Instruments,733.0,4534.0,10.33,1.09,2.48,666.589,8.26449,2018-02-01
BD+49 828 b,BD+49 828,1,1,0,2015,McDonald Observatory,High Resolution Spectrograph,2590.0,4943.0,7.6,1.52,2.85,442.042,9.02851,2015-02-05
BD+55 362 b,BD+55 362,1,1,0,2021,Haute-Provence Observatory,SOPHIE Spectrograph,265.59,5012.0,,0.91,4.09,52.5697,9.15305,2021-05-28
BD+60 1417 b,BD+60 1417,1,1,0,2021,Wide-field Infrared Survey Explorer (WISE) Sat,HgCdTe and Si:As 1K Infrared Detectors,,4993.0,0.8,1.0,4.55,44.9543,9.17439,2022-01-10
BD+63 1405 b,BD+63 1405,1,1,0,2021,Haute-Provence Observatory,SOPHIE Spectrograph,1230.0,5000.0,,0.82,4.2,38.0473,8.705,2023-06-12
BD-06 1339 b,BD-06 1339,1,2,0,2013,La Silla Observatory,HARPS Spectrograph,3.8728,4324.0,,0.7,4.74,20.2695,9.10677,2014-05-14
BD-06 1339 c,BD-06 1339,1,2,0,2013,La Silla Observatory,HARPS Spectrograph,125.94,4324.0,,0.7,4.74,20.2695,9.10677,2014-05-14
BD-08 2823 b,BD-08 2823,1,2,0,2009,La Silla Observatory,HARPS Spectrograph,5.6,4746.0,,0.74,4.13,41.3342,9.50331,2014-05-14
BD-08 2823 c,BD-08 2823,1,2,0,2009,La Silla Observatory,HARPS Spectrograph,237.6,4746.0,,0.74,4.13,41.3342,9.50331,2014-05-14
BD-10 3166 b,BD-10 3166,1,1,0,2000,W. M. Keck Observatory,HIRES Spectrometer,3.48777,5393.0,,1.01,4.68,84.4069,9.83981,2014-08-27
BD-11 4672 b,BD-11 4672,1,2,0,2014,La Silla Observatory,HARPS Spectrograph,1667.0,4475.0,0.52,0.57,4.1,27.1665,9.48511,2015-01-08
BD-11 4672 c,BD-11 4672,1,2,0,2020,Roque de los Muchachos Observatory,HARPS-N Spectrograph,74.2,4550.0,0.64,0.65,4.64,27.1665,9.48511,2020-07-23
BD-13 2130 b,BD-13 2130,1,1,0,2007,La Silla Observatory,CORALIE Spectrograph,714.29999,4545.0,19.17,2.12,2.2,925.214,9.69971,2018-09-06
BD-14 3065 b,BD-14 3065 A,3,1,0,2024,Transiting Exoplanet Survey Satellite (TESS),TESS CCD Array,4.2889696,6736.9,2.61,,3.76,589.423,10.91,2024-08-30
BD-17 63 b,BD-17 63,1,1,0,2008,La Silla Observatory,HARPS Spectrograph,655.57,,,0.74,,34.4603,9.20112,2024-09-13
BD-210397 b,BD-210397,1,2,0,2023,La Silla Observatory,HARPS Spectrograph,1891.0,4051.0,0.75,0.68,4.67,23.7324,9.25962,2023-06-27
BD-210397 c,BD-210397,1,2,0,2023,La Silla Observatory,HARPS Spectrograph,6240.0,,,0.69,,23.7324,9.25962,2023-09-05
CD Cet b,CD Cet,1,1,0,2020,Calar Alto Observatory,CARMENES,2.2907,3130.0,0.17,0.16,4.93,8.60715,12.1232,2021-11-02
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,2011,W. M. Keck Observatory,NIRC2 Camera,10037.5,580.5,,0.02,4.72,,,2014-05-14
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0,2021,Hubble Space Telescope,WFC3 Camera,8040000.0,2320.0,0.24,0.01,3.85,,,2021-05-17
CHXR 73 b,CHXR 73,1,1,0,2006,Hubble Space Telescope,ACS Camera,,,,0.35,,190.374,17.2934,2014-05-14
CI Tau c,CI Tau,1,1,0,2024,Multiple Observatories,Multiple Instruments,25.2,,,,,157.998,12.1454,2024-04-05
COCONUTS-2 b,COCONUTS-2 A,1,1,0,2021,NASA Infrared Telescope Facility (IRTF),SpeX,402000000.0,3406.0,0.39,0.37,4.83,10.8864,10.146,2021-08-16
CT Cha b,CT Cha,1,1,0,2007,Paranal Observatory,NACO Camera,,,,,,190.72,11.7733,2014-05-14
CoRoT-1 b,CoRoT-1,1,1,0,2008,CoRoT,CoRoT CCD Array,1.5089557,5950.0,1.11,0.95,4.25,787.909,13.457,2014-05-14
CoRoT-10 b,CoRoT-10,1,1,0,2010,CoRoT,CoRoT CCD Array,13.2406,5075.0,0.79,0.89,,338.386,14.6645,2019-03-21
CoRoT-11 b,CoRoT-11,1,1,0,2010,CoRoT,CoRoT CCD Array,2.994325,,1.33,1.23,,655.037,12.841,2019-10-24
CoRoT-12 b,CoRoT-12,1,1,0,2010,CoRoT,CoRoT CCD Array,2.828042,5675.0,1.12,1.08,4.38,1126.37,15.3453,2014-05-14
CoRoT-13 b,CoRoT-13,1,1,0,2010,CoRoT,CoRoT CCD Array,4.03515,5945.0,1.01,1.09,4.46,1148.93,14.9147,2022-05-03
CoRoT-14 b,CoRoT-14,1,1,0,2010,CoRoT,CoRoT CCD Array,1.51214,6035.0,1.21,1.13,4.35,1744.6,15.8116,2014-05-14
CoRoT-16 b,CoRoT-16,1,1,0,2011,CoRoT,CoRoT CCD Array,5.35227,5650.0,1.19,1.1,,732.409,15.6507,2019-03-21
CoRoT-17 b,CoRoT-17,1,1,0,2011,CoRoT,CoRoT CCD Array,3.7681,5740.0,1.62,1.04,4.04,1176.12,15.4368,2016-01-14
CoRoT-18 b,CoRoT-18,1,1,0,2011,CoRoT,CoRoT CCD Array,1.9000693,5440.0,1.0,0.95,,764.889,14.8009,2019-03-21
CoRoT-19 b,CoRoT-19,1,1,0,2011,CoRoT,CoRoT CCD Array,3.89713,6090.0,1.58,1.18,4.12,790.663,13.7831,2016-01-14
CoRoT-2 b,CoRoT-2,2,1,0,2008,CoRoT,CoRoT CCD Array,1.7429964,,,,,213.283,12.2489,2014-05-16
CoRoT-20 b,CoRoT-20,1,2,0,2011,CoRoT,CoRoT CCD Array,9.24318,,1.16,1.1,4.35,844.061,14.4686,2019-10-10
CoRoT-20 c,CoRoT-20,1,2,0,2018,Multiple Observatories,Multiple Instruments,1675.0,,,1.14,,844.061,14.4686,2018-07-19
CoRoT-21 b,CoRoT-21,1,1,0,2012,CoRoT,CoRoT CCD Array,2.72474,6200.0,1.95,1.29,,,15.8558,2019-03-21
CoRoT-22 b,CoRoT-22,1,1,0,2014,CoRoT,CoRoT CCD Array,9.75598,5939.0,1.14,1.1,4.36,627.158,13.7305,2014-08-21
CoRoT-23 b,CoRoT-23,1,1,0,2011,CoRoT,CoRoT CCD Array,3.6313,5900.0,1.74,1.12,4.01,1060.97,15.0681,2016-01-14
CoRoT-24 b,CoRoT-24,1,2,0,2014,CoRoT,CoRoT CCD Array,5.1134,4950.0,0.86,0.91,4.55,591.555,15.1801,2018-05-31
CoRoT-24 c,CoRoT-24,1,2,0,2014,CoRoT,CoRoT CCD Array,11.759,4950.0,0.86,0.91,4.55,591.555,15.1801,2014-06-11
CoRoT-25 b,CoRoT-25,1,1,0,2013,CoRoT,CoRoT CCD Array,4.86069,6040.0,1.19,1.09,4.31,1103.48,14.711,2014-05-14
CoRoT-26 b,CoRoT-26,1,1,0,2013,CoRoT,CoRoT CCD Array,4.20474,5590.0,1.79,1.09,3.99,1045.18,15.4682,2014-05-14
CoRoT-27 b,CoRoT-27,1,1,0,2014,CoRoT,CoRoT CCD Array,3.57532,5900.0,1.08,1.05,4.4,1010.28,15.3902,2014-05-14
CoRoT-28 b,CoRoT-28,1,1,0,2015,CoRoT,CoRoT CCD Array,5.20851,5150.0,1.78,1.01,,766.183,13.4119,2019-03-21
CoRoT-29 b,CoRoT-29,1,1,0,2015,CoRoT,CoRoT CCD Array,2.85057,5260.0,0.9,0.97,4.3,806.507,15.2394,2015-04-16
CoRoT-3 b,CoRoT-3,1,1,0,2008,CoRoT,CoRoT CCD Array,4.2567994,,1.54,1.36,,768.771,13.2188,2023-03-15
CoRoT-30 b,CoRoT-30,1,1,0,2020,CoRoT,CoRoT CCD Array,9.06005,5650.0,0.91,0.98,4.4,1032.23,15.413,2020-04-16
CoRoT-31 b,CoRoT-31,1,1,0,2020,CoRoT,CoRoT CCD Array,4.62941,5700.0,2.15,1.25,3.85,2005.76,15.4655,2020-04-16
CoRoT-35 b,CoRoT-35,1,1,0,2022,CoRoT,CoRoT CCD Array,3.22748,6390.0,1.65,1.01,4.01,1123.21,15.2625,2022-08-01
CoRoT-36 b,CoRoT-36,1,1,0,2022,CoRoT,CoRoT CCD Array,5.616531,6730.0,1.52,1.32,4.16,925.958,12.9515,2022-08-01
CoRoT-4 b,CoRoT-4,1,1,0,2008,CoRoT,CoRoT CCD Array,9.20205,6190.0,1.17,1.16,4.41,726.412,13.5613,2014-05-14
CoRoT-5 b,CoRoT-5,1,1,0,2009,CoRoT,CoRoT CCD Array,4.0379156,,1.11,0.99,4.34,882.472,13.9021,2019-10-10
CoRoT-6 b,CoRoT-6,1,1,0,2009,CoRoT,CoRoT CCD Array,8.886593,6090.0,1.02,1.05,,645.294,13.7459,2019-03-21
CoRoT-7 b,CoRoT-7,1,3,0,2009,CoRoT,CoRoT CCD Array,0.8535,5250.0,,0.92,,159.906,11.5239,2022-07-18
CoRoT-7 c,CoRoT-7,1,3,0,2009,CoRoT,CoRoT CCD Array,3.698,5256.0,0.86,0.9,4.52,159.906,11.5239,2015-09-10
CoRoT-7 d,CoRoT-7,1,3,0,2022,La Silla Observatory,HARPS Spectrograph,8.966,5250.0,,0.92,,159.906,11.5239,2022-08-16
CoRoT-8 b,CoRoT-8,1,1,0,2010,CoRoT,CoRoT CCD Array,6.212381,5080.0,0.77,0.88,,322.037,14.2195,2019-03-21
CoRoT-9 b,CoRoT-9,2,1,0,2009,CoRoT,CoRoT CCD Array,95.272725,,,,,412.98,13.5008,2022-10-18
CoRoTID 223977153 b,CoRoTID 223977153,1,1,0,2017,CoRoT,CoRoT CCD Array,6.71837,5970.0,0.79,1.08,4.67,576.683,13.5867,2017-09-15
DE CVn b,DE CVn,2,1,0,2018,Multiple Facilities,Multiple Instruments,4098.1,,,0.51,,30.5225,11.9752,2019-07-11
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,0,2013,Paranal Observatory,FORS2 Spectrograph,246.36,,,0.07,,,18.5577,2014-05-14
DH Tau b,DH Tau,1,1,0,2004,Subaru Telescope,CIAO Camera,,,0.27,0.33,,134.846,12.4961,2014-05-14
DMPP-1 b,DMPP-1,1,4,0,2019,La Silla Observatory,HARPS Spectrograph,18.57,6196.0,1.26,1.21,4.41,62.5388,7.85032,2020-01-30
DMPP-1 c,DMPP-1,1,4,0,2019,La Silla Observatory,HARPS Spectrograph,6.584,6196.0,1.26,1.21,4.41,62.5388,7.85032,2020-01-30
DMPP-1 d,DMPP-1,1,4,0,2019,La Silla Observatory,HARPS Spectrograph,2.882,6196.0,1.26,1.21,4.41,62.5388,7.85032,2020-01-30
DMPP-1 e,DMPP-1,1,4,0,2019,La Silla Observatory,HARPS Spectrograph,5.516,6196.0,1.26,1.21,4.41,62.5388,7.85032,2020-01-30
DMPP-2 b,DMPP-2,1,1,0,2019,Multiple Facilities,Multiple Instruments,5.2072,6500.0,1.78,1.44,4.1,137.94,8.45824,2020-01-30
DMPP-3 A b,DMPP-3 A,2,1,0,2019,La Silla Observatory,HARPS Spectrograph,6.6732,5138.0,0.91,0.87,4.3,45.23,,2020-01-30
DMPP-4 b,DMPP-4,1,1,0,2023,Multiple Observatories,Multiple Instruments,3.4982,6400.0,1.38,1.25,4.24,25.3284,5.60037,2023-08-07
DP Leo b,DP Leo,2,1,0,2009,Yunnan Astronomical Observatory,6K CCD Mosaic,8693.0,,,,,305.684,18.6333,2014-05-16
DS Tuc A b,DS Tuc A,2,1,0,2019,Transiting Exoplanet Survey Satellite (TESS),TESS CCD Array,8.13822218,5414.0,0.95,,4.44,44.0622,8.31926,2024-09-16
EPIC 201170410.02,EPIC 201170410,1,1,0,2020,K2,Kepler CCD Array,6.7987,3648.0,0.28,0.29,5.0,,16.4386,2020-11-19
EPIC 201238110 b,EPIC 201238110,1,1,0,2019,K2,Kepler CCD Array,28.1656,,,0.41,,159.259,15.2612,2019-06-13
EPIC 201427007 b,EPIC 201427007,1,1,0,2021,K2,Kepler CCD Array,0.72091,5633.0,0.94,,4.4,706.391,14.147,2021-10-25
EPIC 201497682 b,EPIC 201497682,1,1,0,2019,K2,Kepler CCD Array,2.13174,,,0.78,,253.026,13.7368,2019-06-13
EPIC 201595106 b,EPIC 201595106,1,1,0,2021,K2,Kepler CCD Array,0.877183,5705.0,0.93,,4.48,232.1,11.6477,2018-02-15
EPIC 201615463 c,K2-166,1,2,0,2019,K2,Kepler CCD Array,3.80464,,,1.07,,476.882,11.9456,2019-06-13
EPIC 201754305 d,K2-16,1,3,0,2019,K2,Kepler CCD Array,2.71578,,,0.67,,334.967,14.3234,2019-06-13
EPIC 201757695.02,EPIC 201757695,1,1,0,2020,K2,Kepler CCD Array,2.0478,4520.0,0.66,0.73,4.66,,,2020-11-19
EPIC 201833600 c,K2-50,1,2,0,2019,K2,Kepler CCD Array,3.96151,,,0.61,,257.443,14.2575,2019-06-13
EPIC 201841433 b,EPIC 201841433,1,1,0,2019,K2,Kepler CCD Array,4.16888,,0.63,,,436.488,14.5885,2019-09-05
EPIC 205950854 c,K2-168,1,2,0,2019,K2,Kepler CCD Array,8.0468,,,0.91,,243.935,12.0976,2019-06-13
EPIC 206024342 b,EPIC 206024342,1,3,0,2019,K2,Kepler CCD Array,4.50756,,,0.93,,369.888,12.9682,2019-06-13
EPIC 206024342 c,EPIC 206024342,1,3,0,2021,K2,Kepler CCD Array,0.9116567,5648.0,0.94,,,369.888,12.9682,2015-12-05
EPIC 206024342 d,EPIC 206024342,1,3,0,2021,K2,Kepler CCD Array,14.6435,,0.82,,,369.888,12.9682,2019-09-05
EPIC 206032309 b,EPIC 206032309,1,1,0,2019,K2,Kepler CCD Array,2.87814,,,0.22,,161.365,16.0689,2019-06-13
EPIC 206042996 b,EPIC 206042996,1,2,0,2019,K2,Kepler CCD Array,5.2986,4114.0,0.5,,4.8,451.769,15.9752,2022-03-28
EPIC 206042996 c,EPIC 206042996,1,2,0,2021,K2,Kepler CCD Array,0.35490972,3893.0,0.57,,,451.769,15.9752,2015-12-05
EPIC 206215704 b,EPIC 206215704,1,1,0,2019,K2,Kepler CCD Array,2.25372,,,0.41,,109.888,16.1722,2019-06-13
EPIC 206317286 b,EPIC 206317286,1,2,0,2019,K2,Kepler CCD Array,1.58252,,,0.71,,314.35,13.774,2019-06-13
EPIC 206317286 c,EPIC 206317286,1,2,0,2022,K2,Kepler CCD Array,17.501662,4749.0,0.73,,,314.35,13.774,2015-12-05
EPIC 211822797 b,EPIC 211822797,1,1,0,2016,K2,Kepler CCD Array,21.169619,3880.0,0.59,0.61,,186.197,14.5263,2016-12-21
EPIC 211945201 b,EPIC 211945201,1,1,0,2018,K2,Kepler CCD Array,19.49221,6069.0,1.39,1.17,4.22,181.69,10.0512,2018-10-26
EPIC 212297394 b,EPIC 212297394,1,2,0,2019,K2,Kepler CCD Array,2.28896,,0.75,,,418.395,14.1864,2019-09-05
EPIC 212297394 c,EPIC 212297394,1,2,0,2016,K2,Kepler CCD Array,5.213965,5171.0,0.8,0.83,4.55,418.395,14.1864,2021-08-23
EPIC 212424622 b,EPIC 212424622,1,1,0,2019,K2,Kepler CCD Array,18.0983,,,1.11,,611.804,13.2026,2019-06-13
EPIC 212499991 b,EPIC 212499991,1,1,0,2019,K2,Kepler CCD Array,34.885,,,0.91,,283.29,13.3118,2019-06-13
EPIC 212587672 b,EPIC 212587672,1,2,0,2019,K2,Kepler CCD Array,15.2841,,,0.95,,320.07,12.2038,2019-06-13
EPIC 212587672 c,EPIC 212587672,1,2,0,2016,K2,Kepler CCD Array,23.226001,5928.0,0.95,,4.49,320.07,12.2038,2018-02-15
EPIC 212624936 b,EPIC 212624936,1,2,0,2021,K2,Kepler CCD Array,0.578657,5765.0,0.93,,4.4,561.929,13.8326,2021-10-25
EPIC 212624936 c,EPIC 212624936,1,2,0,2021,K2,Kepler CCD Array,11.81387,,0.95,,,561.929,13.8326,2019-09-05
EPIC 212737443 b,EPIC 212737443,1,2,0,2019,K2,Kepler CCD Array,13.603,4581.0,0.67,0.72,4.65,336.25,14.4776,2016-07-18
EPIC 212737443 c,EPIC 212737443,1,2,0,2019,K2,Kepler CCD Array,65.55,4684.0,0.67,0.69,4.62,336.25,14.4776,2019-07-25
EPIC 220492298 b,EPIC 220492298,1,1,0,2021,K2,Kepler CCD Array,0.762406,5620.0,0.89,,4.5,624.512,13.7756,2021-10-25
EPIC 220554210 c,K2-282,1,2,0,2019,K2,Kepler CCD Array,0.70531,5499.0,1.0,,4.5,496.289,13.8183,2022-03-28
